ns=3;s=DeviceManual|[]|QualifiedName(2:DeviceManual)|DeviceManual|https://support.industry.siemens.com/cs/ww/en/view/84133942
ns=3;s=DeviceRevision|[]|QualifiedName(2:DeviceRevision)|DeviceRevision|6ES7 512-1SK01-0AB0  V02.08.03
ns=3;s=EngineeringRevision|[]|QualifiedName(3:EngineeringRevision)|EngineeringRevision|V16.0
ns=3;s=HardwareRevision|[]|QualifiedName(2:HardwareRevision)|HardwareRevision|7
ns=3;s=Manufacturer|[]|QualifiedName(2:Manufacturer)|Manufacturer|LocalizedText(Encoding:2, Locale:None, Text:Siemens AG)
ns=3;s=Model|[]|QualifiedName(2:Model)|Model|LocalizedText(Encoding:2, Locale:None, Text:CPU 1512SP F-1 PN)
ns=3;s=OperatingMode|[]|QualifiedName(3:OperatingMode)|OperatingMode|8
ns=3;s=OrderNumber|[]|QualifiedName(3:OrderNumber)|OrderNumber|6ES7 512-1SK01-0AB0 
ns=3;s=RevisionCounter|[]|QualifiedName(2:RevisionCounter)|RevisionCounter|-1
ns=3;s=SerialNumber|[]|QualifiedName(2:SerialNumber)|SerialNumber|S C-N3DH30232021
ns=3;s=SoftwareRevision|[]|QualifiedName(2:SoftwareRevision)|SoftwareRevision|V02.08.03
